Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,202,944.9892797470093,944.8407049179077
ais8,0,,,
ais10,0,368,7229.569068670273,7228.495025873184
ais12,0,,,
cnf_cbpmas_prop_1_12761_2_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2_0.00000000.sat,0,19250,2221.2819225788116,2158.8486120700836
cnf_mo_prop_2_1768_2_0.00000000.sat,0,19250,1974.0859496593475,1913.5353684425354
cnf_mo_prop_8_12004_2_0.00000000.sat,0,19250,3825.4868547916412,3764.6382343769073
cnf_mo_prop_9_12912_2_0.00000000.sat,0,19250,4144.574285030365,4082.2309544086456
flat30-1,1,480,1.051778793334961,0.9217479228973389
flat30-2,1,480,1.0223872661590576,0.8960630893707275
flat30-3,0,480,22.211363315582275,22.083398818969727
flat30-4,0,480,52.28707551956177,52.15946364402771
flat30-5,0,480,24.542741537094116,24.407790422439575
flat30-6,1,480,1.3968467712402344,1.2683837413787842
flat30-7,1,480,1.0458455085754395,0.9184861183166504
flat30-8,0,480,24.996114492416382,24.870726585388184
flat30-9,0,480,41.65010118484497,41.51412916183472
flat30-10,0,480,29.48409104347229,29.351117372512817
flat50-1,0,800,202.30368375778198,201.99909782409668
flat50-2,0,800,117.62842798233032,117.35437631607056
flat50-3,0,800,215.6177680492401,215.34068632125854
flat50-4,0,800,119.2409279346466,118.93733477592468
flat50-5,0,800,189.8333261013031,189.5349781513214
flat50-6,0,800,95.26251816749573,94.95941281318665
flat50-7,1,800,3.08028244972229,2.7926254272460938
flat50-8,0,800,161.3740096092224,161.09273672103882
flat50-9,1,800,39.60385727882385,39.3312623500824
flat50-10,0,800,311.5510115623474,311.2725214958191
flat75-1,0,1200,313.3318145275116,312.8297131061554
flat75-2,0,1200,139.22330784797668,138.71369457244873
flat75-3,0,1200,529.3984458446503,528.8674547672272
flat75-4,0,1200,396.3860430717468,395.87050557136536
flat75-5,0,1200,287.76126432418823,287.2475390434265
flat75-6,0,1200,260.3173351287842,259.81099247932434
flat75-7,0,1200,376.7639956474304,376.252197265625
flat75-8,0,1200,298.495502948761,297.99248242378235
flat75-9,0,1200,488.0688364505768,487.56409311294556
flat75-10,0,1200,374.884624004364,374.3552224636078
flat100-1,0,1600,427.4775972366333,426.64899015426636
flat100-2,0,1600,6271.912069797516,6271.064333677292
flat100-3,0,1600,949.6610670089722,948.8277320861816
flat100-4,0,364,7228.147869586945,7227.314721107483
flat100-5,0,1600,1067.7664399147034,1066.9376940727234
flat100-6,0,1600,881.1036219596863,880.272887468338
flat100-7,0,400,7226.85163807869,7226.015725135803
flat100-8,0,1370,7226.723471403122,7225.898671388626
flat100-9,0,1600,792.5395982265472,791.7072062492371
flat100-10,0,424,7227.1147701740265,7226.28173494339
flat125-1,0,2000,5046.275758266449,5045.077853441238
flat125-2,0,,,
flat125-3,0,2000,3365.755614042282,3364.5283439159393
flat125-4,0,2000,2718.9144673347473,2717.694188594818
flat125-5,0,2000,1555.0305874347687,1553.8092036247253
flat150-1,0,,,
flat150-2,0,,,
flat150-3,0,,,
flat150-4,0,,,
flat150-5,0,2400,3855.1394731998444,3853.4551453590393
flat175-1,0,,,
flat175-2,0,,,
flat175-3,0,,,
flat175-4,0,,,
flat175-5,0,,,
flat200-1,0,,,
flat200-2,0,,,
flat200-3,0,,,
flat200-4,0,,,
flat200-5,0,,,
logistics.a,0,,,
logistics.b,0,2022,7234.604603528976,7225.352367639542
logistics.c,0,2334,7244.082548618317,7226.314224243164
logistics.d,0,,,
mc2024_track1_000,0,,,
mc2024_track1_001,1,1928,5977.759802341461,5960.682835817337
mc2024_track1_002,1,1150,63.158767223358154,61.688114166259766
mc2024_track1_003,1,884,1.290945291519165,0.8043279647827148
mc2024_track1_004,1,612,127.52691078186035,2.0047683715820312
mc2024_track1_005,1,850,10.842556715011597,9.710647344589233
mc2024_track1_006,1,896,1.7552530765533447,0.9223177433013916
mc2024_track1_007,0,,,
mc2024_track1_008,0,,,
mc2024_track1_009,1,18302,1344.1437833309174,1217.9561829566956
mc2024_track1_010,1,14576,35.762667179107666,10.952975749969482
mc2024_track1_011,0,4858,7243.494734048843,7227.121679544449
mc2024_track1_012,0,,,
mc2024_track1_013,1,13800,34.14325833320618,11.010951280593872
mc2024_track1_014,0,5478,7250.652722358704,7230.928227186203
mc2024_track1_015,1,6748,219.14760303497314,17.851360321044922
mc2024_track1_016,0,7726,7479.501980543137,7232.86311340332
mc2024_track1_017,0,,,
mc2024_track1_018,0,,,
mc2024_track1_019,0,,,
mc2024_track1_020,1,7338,126.65424823760986,119.22560024261475
mc2024_track1_021,0,11702,7470.803210258484,7232.225978851318
mc2024_track1_022,0,,,
mc2024_track1_023,1,11828,7279.305534601212,7227.67608165741
mc2024_track1_024,0,,,
mc2024_track1_025,0,,,
mc2024_track1_026,0,,,
mc2024_track1_027,1,2704,3.982926368713379,2.139653444290161
mc2024_track1_028,1,378,0.11533355712890625,0.061540842056274414
mc2024_track1_029,1,450,0.16561412811279297,0.07241177558898926
mc2024_track1_030,1,396,0.12092113494873047,0.06019258499145508
mc2024_track1_031,1,468,0.10901451110839844,0.03803730010986328
mc2024_track1_032,1,522,0.13948822021484375,0.0546417236328125
mc2024_track1_033,0,,,
mc2024_track1_034,0,,,
mc2024_track1_035,0,,,
mc2024_track1_036,0,,,
