Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,0,202,671.888881444931,671.7253472805023
ais8,0,276,7227.269665718079,7226.767523765564
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2_0.00000000.sat,1,-113158,7475.437600851059,7227.579649209976
cnf_cbpmas_prop_20_19379_2_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2_0.01000000.sat,1,-113158,7531.485483646393,7240.155863523483
cnf_cbpmas_prop_22_19855_2_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2_0.00000000.sat,1,9782,7438.826509714127,7225.064870119095
cnf_cbpmas_prop_24_20378_2_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2_0.00000000.sat,1,-113158,7468.859232187271,7235.079081058502
cnf_cbpmas_prop_26_21271_2_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2_0.00000000.sat,0,19240,7328.910608291626,7234.221698284149
cnf_mo_prop_2_1768_2_0.00000000.sat,0,19238,7334.947453260422,7238.7826516628265
cnf_mo_prop_8_12004_2_0.00000000.sat,1,19250,6258.60045170784,6163.274355173111
cnf_mo_prop_9_12912_2_0.00000000.sat,1,19250,4712.990235567093,4620.432320594788
flat30-1,0,480,8.899955034255981,8.738926649093628
flat30-2,1,480,0.9783015251159668,0.815903902053833
flat30-3,1,480,1.5706613063812256,1.4082682132720947
flat30-4,0,480,44.96109867095947,44.80144691467285
flat30-5,0,480,28.551755905151367,28.395773887634277
flat30-6,1,480,1.0483293533325195,0.8872296810150146
flat30-7,1,480,0.8878095149993896,0.7316596508026123
flat30-8,1,480,0.7929260730743408,0.6347794532775879
flat30-9,0,480,37.652366161346436,37.491901874542236
flat30-10,1,480,32.70274305343628,32.547611474990845
flat50-1,0,800,60.71408247947693,60.366506814956665
flat50-2,0,800,221.5118350982666,221.14141392707825
flat50-3,0,800,170.49322533607483,170.14424514770508
flat50-4,0,800,147.761647939682,147.40257477760315
flat50-5,0,800,8.784045457839966,8.435523509979248
flat50-6,0,800,23.669811725616455,23.317816257476807
flat50-7,0,800,122.26756930351257,121.9200792312622
flat50-8,0,800,10.649137735366821,10.293159008026123
flat50-9,1,800,3.7958662509918213,3.437027931213379
flat50-10,0,800,191.41305136680603,191.06932663917542
flat75-1,0,1200,271.0796468257904,270.41995906829834
flat75-2,0,1200,246.32329773902893,245.65259289741516
flat75-3,0,1200,728.6685423851013,727.995463848114
flat75-4,0,1200,31.549916982650757,30.887779235839844
flat75-5,0,1200,339.23911142349243,338.57277750968933
flat75-6,0,1200,342.60882902145386,341.9260814189911
flat75-7,0,1200,226.5674180984497,225.89147567749023
flat75-8,0,1200,660.3438181877136,659.6682810783386
flat75-9,0,1200,325.10531306266785,324.4413239955902
flat75-10,0,1200,394.25929617881775,393.5672245025635
flat100-1,0,1600,358.24216389656067,357.13812494277954
flat100-2,0,1600,3749.552567958832,3748.5029141902924
flat100-3,0,1600,3743.423743724823,3742.375734567642
flat100-4,0,364,7228.912408351898,7227.872260093689
flat100-5,0,1600,508.6400194168091,507.59984731674194
flat100-6,0,1600,852.8679437637329,851.8210480213165
flat100-7,0,1600,5132.351108789444,5131.307616710663
flat100-8,0,1600,4760.23815870285,4759.202483654022
flat100-9,0,1600,4434.8738124370575,4433.836150407791
flat100-10,0,1600,1623.8415386676788,1622.7981095314026
flat125-1,0,2000,600.7414288520813,599.1633627414703
flat125-2,0,,,
flat125-3,0,952,7226.354537248611,7224.757524728775
flat125-4,0,,,
flat125-5,0,2000,2081.2451424598694,2079.6815617084503
flat150-1,0,,,
flat150-2,0,,,
flat150-3,0,,,
flat150-4,0,,,
flat150-5,0,2400,1663.064334154129,1660.9238076210022
flat175-1,0,,,
flat175-2,0,,,
