Instance,PeakMem(MB),Time(s)
mc2024_track1_049.pbo,189.07,out_of_time
sw100-10.pbo,1662.45,out_of_time
flat100-6.pbo,1368.41,out_of_time
mc2024_track1_078.pbo,18494.91,567.65
sw100-18.pbo,1243.46,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,3942.92,out_of_time
mc2024_track1_186.pbo,728.50,out_of_time
mc2024_track1_120.pbo,252.53,out_of_time
mc2024_track1_101.pbo,1539.02,out_of_time
mc2024_track1_050.pbo,189.66,out_of_time
mc2024_track1_149.pbo,2194.20,out_of_time
mc2024_track1_084.pbo,12723.37,out_of_time
mc2024_track1_022.pbo,5106.33,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,17450.34,417.87
mc2024_track1_121.pbo,1614.66,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,4903.26,out_of_time
flat75-2.pbo,1412.66,out_of_time
mc2024_track1_000.pbo,33022.30,out_of_time
mc2024_track1_073.pbo,20582.56,out_of_time
mc2024_track1_007.pbo,21203.76,763.58
mc2024_track1_036.pbo,2976.66,out_of_time
mc2024_track1_184.pbo,88.76,36.74
mc2024_track1_104.pbo,2211.65,out_of_time
sw100-17.pbo,1092.75,out_of_time
flat50-8.pbo,1076.29,out_of_time
mc2024_track1_137.pbo,17241.05,386.98
sw100-13.pbo,1412.19,out_of_time
mc2024_track1_085.pbo,1806.68,out_of_time
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,3745.95,out_of_time
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,17447.46,423.87
flat200-2.pbo,2111.38,out_of_time
mc2024_track1_009.pbo,3291.81,out_of_time
mc2024_track1_148.pbo,2310.44,out_of_time
mc2024_track1_018.pbo,8399.26,out_of_time
mc2024_track1_167.pbo,5114.67,out_of_time
mc2024_track1_136.pbo,17073.18,393.20
mc2024_track1_114.pbo,135.32,out_of_time
mc2024_track1_103.pbo,1814.18,out_of_time
mc2024_track1_161.pbo,14300.85,out_of_time
flat200-4.pbo,1496.12,out_of_time
flat125-3.pbo,1797.73,out_of_time
mc2024_track1_142.pbo,4845.26,out_of_time
mc2024_track1_181.pbo,114.02,93.92
sw100-2.pbo,1640.54,out_of_time
mc2024_track1_146.pbo,2801.70,out_of_time
mc2024_track1_127.pbo,925.62,out_of_time
mc2024_track1_015.pbo,1957.46,out_of_time
mc2024_track1_052.pbo,13304.69,out_of_time
mc2024_track1_152.pbo,2186.69,out_of_time
mc2024_track1_190.pbo,1262.10,out_of_time
mc2024_track1_047.pbo,160.23,out_of_time
flat50-9.pbo,982.43,out_of_time
mc2024_track1_157.pbo,2420.53,out_of_time
mc2024_track1_008.pbo,26691.00,1959.37
mc2024_track1_155.pbo,2929.20,out_of_time
mc2024_track1_014.pbo,1798.27,out_of_time
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,17454.39,415.25
mc2024_track1_174.pbo,42.39,5.32
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,17324.02,404.13
flat200-3.pbo,2626.63,out_of_time
