Instance,PeakMem(MB),Time(s)
mc2024_track1_070.pbo,1547.84,out_of_time
sw100-14.pbo,1209.12,out_of_time
mc2024_track1_145.pbo,2710.71,out_of_time
mc2024_track1_116.pbo,306.69,out_of_time
flat30-6.pbo,2.19,0.44
flat50-6.pbo,2.62,0.48
flat175-4.pbo,7.44,0.93
mc2024_track1_196.pbo,1534.57,out_of_time
mc2024_track1_126.pbo,396.94,out_of_time
flat30-2.pbo,2.41,0.45
mc2024_track1_132.pbo,358.33,out_of_time
mc2024_track1_106.pbo,23.52,3.42
flat200-5.pbo,5.47,1.09
flat100-10.pbo,5.86,0.61
ais12.pbo,346.81,out_of_time
mc2024_track1_173.pbo,25.57,1.70
mc2024_track1_199.pbo,2079.23,out_of_time
sw100-1.pbo,1370.10,out_of_time
logistics.c.pbo,790.76,out_of_time
mc2024_track1_011.pbo,1055.81,out_of_time
mc2024_track1_183.pbo,2.62,0.47
mc2024_track1_172.pbo,433.95,out_of_time
flat100-7.pbo,4.16,0.71
mc2024_track1_088.pbo,1849.61,out_of_time
flat100-4.pbo,5.31,0.61
mc2024_track1_118.pbo,1.97,0.45
mc2024_track1_092.pbo,299.52,2364.43
mc2024_track1_083.pbo,2.62,0.53
mc2024_track1_189.pbo,834.50,out_of_time
mc2024_track1_166.pbo,10538.49,out_of_time
mc2024_track1_042.pbo,404.49,out_of_time
mc2024_track1_113.pbo,220.03,out_of_time
mc2024_track1_046.pbo,647.70,out_of_time
flat150-2.pbo,4.81,1.11
mc2024_track1_026.pbo,1028.82,out_of_time
mc2024_track1_035.pbo,633.47,out_of_time
mc2024_track1_053.pbo,1064.27,out_of_time
mc2024_track1_182.pbo,469.85,out_of_time
mc2024_track1_040.pbo,399.37,out_of_time
flat200-1.pbo,5.69,1.09
flat75-8.pbo,3.28,0.56
mc2024_track1_143.pbo,1912.58,out_of_time
sw100-15.pbo,549.09,out_of_time
mc2024_track1_144.pbo,657.75,out_of_time
mc2024_track1_158.pbo,2655.44,out_of_time
mc2024_track1_107.pbo,329.89,1285.22
ais8.pbo,14.86,22.53
mc2024_track1_039.pbo,1103.96,out_of_time
flat175-2.pbo,6.35,0.93
sw100-16.pbo,1019.33,out_of_time
mc2024_track1_119.pbo,89.13,1628.07
mc2024_track1_176.pbo,66.40,4.72
mc2024_track1_032.pbo,1.97,0.44
mc2024_track1_017.pbo,661.39,out_of_time
mc2024_track1_029.pbo,1.75,0.44
ais10.pbo,215.66,out_of_time
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat.pbo,4013.02,out_of_time
flat100-8.pbo,5.50,0.65
mc2024_track1_006.pbo,281.35,out_of_time
flat125-2.pbo,5.62,0.78
mc2024_track1_010.pbo,9.32,1.13
logistics.a.pbo,55.42,43.10
flat30-3.pbo,4.58,0.45
mc2024_track1_043.pbo,901.04,out_of_time
mc2024_track1_082.pbo,4.78,0.53
mc2024_track1_019.pbo,1071.93,out_of_time
mc2024_track1_117.pbo,2.62,0.58
mc2024_track1_080.pbo,2.62,0.47
mc2024_track1_097.pbo,1518.13,out_of_time
sw100-3.pbo,1271.32,out_of_time
mc2024_track1_058.pbo,118.19,out_of_time
mc2024_track1_041.pbo,483.78,out_of_time
mc2024_track1_105.pbo,18.06,6.38
mc2024_track1_169.pbo,93.88,80.19
ais6.pbo,3.50,0.71
mc2024_track1_003.pbo,43.34,135.88
flat175-3.pbo,7.24,0.92
logistics.b.pbo,470.47,out_of_time
sw100-7.pbo,1597.95,out_of_time
flat175-5.pbo,7.83,1.11
sw100-8.pbo,1215.20,out_of_time
mc2024_track1_024.pbo,900.53,out_of_time
mc2024_track1_163.pbo,1468.51,out_of_time
flat75-10.pbo,5.06,0.57
mc2024_track1_004.pbo,355.55,712.67
mc2024_track1_061.pbo,13.32,22.38
flat125-4.pbo,4.16,0.72
flat50-1.pbo,2.62,0.49
mc2024_track1_075.pbo,3237.41,out_of_time
flat150-5.pbo,5.25,0.87
mc2024_track1_079.pbo,3.28,0.54
mc2024_track1_067.pbo,2365.64,out_of_time
mc2024_track1_140.pbo,1983.57,out_of_time
flat30-9.pbo,2.62,0.44
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,4750.99,out_of_time
mc2024_track1_054.pbo,5.25,0.63
mc2024_track1_168.pbo,1446.43,out_of_time
mc2024_track1_110.pbo,328.82,out_of_time
mc2024_track1_180.pbo,3.06,0.48
mc2024_track1_124.pbo,6380.23,out_of_time
mc2024_track1_001.pbo,594.50,out_of_time
mc2024_track1_159.pbo,2846.35,out_of_time
mc2024_track1_112.pbo,302.30,out_of_time
sw100-11.pbo,578.80,out_of_time
mc2024_track1_025.pbo,725.72,out_of_time
mc2024_track1_160.pbo,1767.78,out_of_time
mc2024_track1_108.pbo,354.76,9648.55
sw100-12.pbo,1384.42,out_of_time
