Instance,PeakMem(MB),Time(s)
mc2024_track1_003.pbo,886.32,out_of_time
mc2024_track1_059.pbo,8.43,2.63
mc2024_track1_120.pbo,142.92,out_of_time
sw100-15.pbo,1505.18,out_of_time
flat75-3.pbo,20.52,2.29
mc2024_track1_018.pbo,3863.40,out_of_time
sw100-14.pbo,2182.62,out_of_time
flat50-6.pbo,112.13,253.55
mc2024_track1_191.pbo,17421.77,533.42
mc2024_track1_153.pbo,1455.21,out_of_time
flat50-9.pbo,13.59,1.86
mc2024_track1_113.pbo,549.37,out_of_time
mc2024_track1_129.pbo,1382.50,out_of_time
sw100-18.pbo,1557.91,out_of_time
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat.pbo,2874.40,out_of_time
mc2024_track1_074.pbo,17169.33,525.33
mc2024_track1_036.pbo,2049.01,out_of_time
mc2024_track1_185.pbo,26.95,9.17
mc2024_track1_158.pbo,6983.05,out_of_time
flat50-8.pbo,22.21,5.57
flat75-2.pbo,37.40,6.88
flat175-1.pbo,53.74,6.85
mc2024_track1_055.pbo,360.93,16.39
mc2024_track1_125.pbo,1771.51,out_of_time
mc2024_track1_178.pbo,1733.76,out_of_time
mc2024_track1_141.pbo,2369.66,out_of_time
mc2024_track1_142.pbo,3071.31,out_of_time
flat75-5.pbo,12.08,1.63
mc2024_track1_069.pbo,1207.74,out_of_time
flat125-4.pbo,31.31,3.34
mc2024_track1_024.pbo,5192.85,out_of_time
flat100-2.pbo,19.96,2.33
mc2024_track1_039.pbo,1561.96,out_of_time
mc2024_track1_011.pbo,1009.07,4812.06
mc2024_track1_056.pbo,3795.62,158.16
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat.pbo,17309.83,499.98
mc2024_track1_075.pbo,17141.46,513.76
mc2024_track1_000.pbo,15279.02,out_of_time
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,17316.37,500.98
flat75-9.pbo,20.97,3.07
flat50-3.pbo,8.70,0.93
sw100-2.pbo,1586.16,out_of_time
logistics.c.pbo,2193.93,out_of_time
mc2024_track1_177.pbo,4.97,0.58
mc2024_track1_044.pbo,634.34,out_of_time
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat.pbo,17310.18,507.68
mc2024_track1_192.pbo,17519.12,545.29
mc2024_track1_183.pbo,7.33,0.57
sw100-5.pbo,1794.91,out_of_time
sw100-19.pbo,1550.60,out_of_time
mc2024_track1_065.pbo,1226.38,out_of_time
mc2024_track1_047.pbo,139.07,out_of_time
flat50-7.pbo,13.82,1.48
mc2024_track1_103.pbo,1419.55,out_of_time
flat125-2.pbo,19.08,3.25
mc2024_track1_112.pbo,913.59,out_of_time
mc2024_track1_119.pbo,187.14,out_of_time
flat75-10.pbo,19.70,2.20
flat150-1.pbo,26.42,4.81
sw100-10.pbo,1562.63,out_of_time
mc2024_track1_149.pbo,1520.07,out_of_time
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat.pbo,3129.54,out_of_time
sw100-1.pbo,1272.40,out_of_time
mc2024_track1_144.pbo,24307.20,out_of_time
mc2024_track1_161.pbo,6993.94,out_of_time
mc2024_track1_166.pbo,9415.56,out_of_time
sw100-16.pbo,1735.69,out_of_time
mc2024_track1_058.pbo,7.98,1.19
mc2024_track1_023.pbo,3003.27,out_of_time
mc2024_track1_154.pbo,764.18,out_of_time
mc2024_track1_042.pbo,244.59,out_of_time
flat50-5.pbo,13.33,1.67
mc2024_track1_001.pbo,2306.28,out_of_time
flat175-5.pbo,51.88,6.31
mc2024_track1_051.pbo,6.79,1.08
flat100-7.pbo,20.95,2.42
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat.pbo,17318.57,502.24
mc2024_track1_043.pbo,210.31,out_of_time
mc2024_track1_116.pbo,1001.39,out_of_time
mc2024_track1_102.pbo,934.77,out_of_time
flat30-6.pbo,9.14,1.33
mc2024_track1_085.pbo,210.48,46.07
mc2024_track1_199.pbo,33556.18,1097.86
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat.pbo,2859.11,out_of_time
flat175-4.pbo,62.52,9.70
mc2024_track1_017.pbo,3781.39,out_of_time
mc2024_track1_016.pbo,658.51,237.79
mc2024_track1_179.pbo,23.74,1.03
mc2024_track1_126.pbo,1561.58,out_of_time
mc2024_track1_186.pbo,510.93,out_of_time
flat50-4.pbo,10.90,1.23
mc2024_track1_062.pbo,789.48,out_of_time
mc2024_track1_106.pbo,1347.83,out_of_time
mc2024_track1_067.pbo,1380.24,out_of_time
mc2024_track1_134.pbo,9037.57,out_of_time
mc2024_track1_150.pbo,1370.96,out_of_time
mc2024_track1_171.pbo,1306.59,69.44
mc2024_track1_007.pbo,18734.08,609.42
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat.pbo,17310.07,505.37
flat75-6.pbo,20.32,2.93
mc2024_track1_151.pbo,1514.35,out_of_time
mc2024_track1_031.pbo,5.56,0.78
mc2024_track1_198.pbo,17594.97,486.41
mc2024_track1_073.pbo,18043.48,487.51
sw100-9.pbo,1949.03,out_of_time
mc2024_track1_193.pbo,17126.79,516.45
mc2024_track1_026.pbo,3941.79,out_of_time
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat.pbo,17279.55,506.74
mc2024_track1_014.pbo,813.76,2385.94
flat150-2.pbo,60.75,8.00
sw100-3.pbo,1217.73,out_of_time
mc2024_track1_052.pbo,7355.02,519.79
sw100-20.pbo,1191.55,out_of_time
mc2024_track1_138.pbo,24332.35,out_of_time
mc2024_track1_063.pbo,1254.31,out_of_time
ais6.pbo,163.86,3370.92
mc2024_track1_091.pbo,119.96,30.70
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,17309.98,500.76
mc2024_track1_187.pbo,211.52,out_of_time
mc2024_track1_068.pbo,231.30,out_of_time
sw100-17.pbo,1137.57,out_of_time
flat150-3.pbo,96.44,15.53
mc2024_track1_082.pbo,7.93,0.82
flat50-1.pbo,11.20,1.96
mc2024_track1_020.pbo,387.79,271.32
mc2024_track1_032.pbo,4.16,0.51
flat30-3.pbo,7.82,0.67
mc2024_track1_110.pbo,924.03,out_of_time
mc2024_track1_146.pbo,1968.20,out_of_time
mc2024_track1_008.pbo,22793.72,1379.46
mc2024_track1_105.pbo,168.01,264.34
mc2024_track1_160.pbo,3829.40,out_of_time
mc2024_track1_022.pbo,3658.61,out_of_time
mc2024_track1_162.pbo,3944.91,out_of_time
mc2024_track1_195.pbo,18814.94,out_of_time
sw100-11.pbo,1071.64,out_of_time
mc2024_track1_019.pbo,4744.17,out_of_time
mc2024_track1_156.pbo,11560.96,out_of_time
mc2024_track1_060.pbo,5.24,0.70
mc2024_track1_030.pbo,5.72,0.50
mc2024_track1_004.pbo,1073.64,out_of_time
mc2024_track1_100.pbo,805.38,out_of_time
flat125-1.pbo,31.32,3.41
mc2024_track1_054.pbo,107.43,7.10
flat200-2.pbo,43.39,8.78
mc2024_track1_072.pbo,17438.42,486.70
mc2024_track1_096.pbo,18121.39,484.64
mc2024_track1_025.pbo,2429.45,out_of_time
mc2024_track1_090.pbo,107.94,18.22
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat.pbo,3723.15,out_of_time
mc2024_track1_010.pbo,714.37,28.87
flat75-8.pbo,14.80,1.31
mc2024_track1_033.pbo,2668.86,out_of_time
flat30-5.pbo,6.86,0.97
mc2024_track1_005.pbo,746.11,out_of_time
mc2024_track1_006.pbo,1041.95,out_of_time
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat.pbo,17309.86,504.82
mc2024_track1_086.pbo,121.80,24.11
mc2024_track1_143.pbo,2312.87,out_of_time
mc2024_track1_041.pbo,1609.35,out_of_time
ais12.pbo,786.39,out_of_time
mc2024_track1_196.pbo,35236.53,1314.77
flat50-2.pbo,13.30,1.76
mc2024_track1_181.pbo,12.75,0.83
mc2024_track1_081.pbo,6.05,0.56
