Instance,PeakMem(MB),Time(s)
mc2024_track1_049.pbo,205.77,out_of_time
sw100-10.pbo,812.41,out_of_time
flat100-6.pbo,3.72,1.61
mc2024_track1_078.pbo,4883.78,out_of_time
sw100-18.pbo,782.45,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,1106.44,out_of_time
mc2024_track1_186.pbo,217.25,out_of_time
mc2024_track1_120.pbo,125.24,4012.83
mc2024_track1_101.pbo,520.84,5647.49
mc2024_track1_050.pbo,602.14,out_of_time
mc2024_track1_149.pbo,791.93,out_of_time
mc2024_track1_084.pbo,4529.62,out_of_time
mc2024_track1_022.pbo,1518.45,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,3206.36,out_of_time
mc2024_track1_121.pbo,3.03,0.63
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,1767.38,out_of_time
flat75-2.pbo,3.50,0.53
mc2024_track1_000.pbo,2842.61,out_of_time
mc2024_track1_073.pbo,1285.65,out_of_time
mc2024_track1_007.pbo,7502.54,out_of_time
mc2024_track1_036.pbo,906.81,out_of_time
mc2024_track1_184.pbo,3.28,0.46
mc2024_track1_104.pbo,851.14,out_of_time
sw100-17.pbo,784.38,out_of_time
flat50-8.pbo,3.06,0.47
mc2024_track1_137.pbo,5570.89,out_of_time
sw100-13.pbo,855.62,out_of_time
mc2024_track1_085.pbo,16.54,4.97
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,1520.04,out_of_time
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,3217.75,out_of_time
flat200-2.pbo,6.89,1.04
mc2024_track1_009.pbo,1133.95,4709.62
mc2024_track1_148.pbo,995.44,out_of_time
mc2024_track1_018.pbo,1862.35,out_of_time
mc2024_track1_167.pbo,23.59,8.17
mc2024_track1_136.pbo,2837.21,out_of_time
mc2024_track1_114.pbo,135.17,out_of_time
mc2024_track1_103.pbo,1616.86,out_of_time
mc2024_track1_161.pbo,1377.17,out_of_time
flat200-4.pbo,6.38,0.93
flat125-3.pbo,5.97,0.64
mc2024_track1_142.pbo,1181.32,out_of_time
mc2024_track1_181.pbo,3.28,0.74
sw100-2.pbo,750.48,out_of_time
mc2024_track1_146.pbo,999.85,out_of_time
mc2024_track1_127.pbo,213.08,482.34
mc2024_track1_015.pbo,19.84,1.56
mc2024_track1_052.pbo,42.40,4.28
mc2024_track1_152.pbo,678.42,out_of_time
mc2024_track1_190.pbo,218.95,out_of_time
mc2024_track1_047.pbo,224.06,out_of_time
flat50-9.pbo,2.84,0.48
mc2024_track1_157.pbo,744.82,5846.09
mc2024_track1_008.pbo,12422.77,out_of_time
mc2024_track1_155.pbo,935.22,out_of_time
mc2024_track1_014.pbo,749.21,out_of_time
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,3907.90,out_of_time
mc2024_track1_174.pbo,3.50,0.69
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,1962.48,out_of_time
flat200-3.pbo,5.25,0.80
flat75-1.pbo,3.50,0.55
mc2024_track1_128.pbo,54.54,51.37
flat75-6.pbo,3.28,0.52
mc2024_track1_139.pbo,1156.01,out_of_time
flat100-2.pbo,3.72,0.60
mc2024_track1_064.pbo,299.93,out_of_time
mc2024_track1_063.pbo,348.87,out_of_time
flat50-10.pbo,3.06,0.47
mc2024_track1_187.pbo,163.67,out_of_time
sw100-20.pbo,803.79,out_of_time
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat.pbo,2792.64,out_of_time
mc2024_track1_165.pbo,65.20,25.93
mc2024_track1_002.pbo,444.82,out_of_time
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat.pbo,1520.20,out_of_time
mc2024_track1_068.pbo,328.24,out_of_time
mc2024_track1_086.pbo,7.64,2.76
mc2024_track1_134.pbo,1750.98,out_of_time
flat100-5.pbo,3.72,0.63
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat.pbo,2821.43,out_of_time
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat.pbo,3451.68,out_of_time
flat30-8.pbo,2.84,0.46
