Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,1,202,502.044,502.015
ais8,0,,,
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,0,,,
flat30-1,1,480,0.117192,0.099758
flat30-2,1,480,0.134394,0.11587
flat30-3,1,480,0.191015,0.174097
flat30-4,1,480,0.146105,0.130335
flat30-5,1,480,0.098904,0.084644
flat30-6,1,480,0.216739,0.202897
flat30-7,1,480,0.579336,0.563689
flat30-8,1,480,0.962343,0.946674
flat30-9,1,480,0.285343,0.26885
flat30-10,1,480,0.137466,0.123414
flat50-1,1,800,1.20471,1.17062
flat50-2,1,800,0.651674,0.622813
flat50-3,1,800,0.446186,0.414486
flat50-4,1,800,0.279747,0.252721
flat50-5,1,800,0.346043,0.318416
flat50-6,1,800,0.637403,0.607142
flat50-7,1,800,0.273279,0.242731
flat50-8,1,800,6.59326,6.56139
flat50-9,1,800,0.295584,0.267564
flat50-10,1,800,1.0067,0.984332
flat75-1,1,1200,0.973631,0.926766
flat75-2,1,1200,3.08944,3.04193
flat75-3,1,1200,0.590977,0.545702
flat75-4,1,1200,1.02839,0.983204
flat75-5,1,1200,0.961321,0.912891
flat75-6,0,,0.668233,
flat75-7,1,1200,0.599956,0.556597
flat75-8,1,1200,2.51457,2.46398
flat75-9,1,1200,32.519,32.4588
flat75-10,1,1200,0.585802,0.542735
flat100-1,1,1600,1.22931,1.15159
flat100-2,1,1600,0.887917,0.817976
flat100-3,1,1600,0.861301,0.793798
flat100-4,1,1600,1.31165,1.24802
flat100-5,1,1600,0.821298,0.754866
flat100-6,1,1600,0.998596,0.933724
flat100-7,1,1600,0.833176,0.765718
flat100-8,1,1600,1.23259,1.16906
flat100-9,1,1600,1.00883,0.944231
flat100-10,1,1600,0.772729,0.708904
flat125-1,1,2000,1.25704,1.16738
flat125-2,1,2000,1.8038,1.71681
flat125-3,1,2000,1.84432,1.75685
flat125-4,1,2000,2.44299,2.3583
flat125-5,1,2000,1.25145,1.16124
flat150-1,1,2400,19.4521,19.3481
flat150-2,1,2400,3.32203,3.2087
flat150-3,1,2400,2.1563,2.05205
flat150-4,1,2400,2.09327,1.98904
flat150-5,1,2400,1.43612,1.33106
flat175-1,1,2800,2.06185,1.91876
flat175-2,1,2800,4.90705,4.77824
flat175-3,1,2800,3.11148,2.95075
flat175-4,1,2800,2.82012,2.67418
flat175-5,1,2800,3.0989,2.95727
flat200-1,1,3200,5.19188,5.00217
flat200-2,1,3200,8.23141,8.04752
flat200-3,1,3200,6.86765,6.71856
flat200-4,1,3200,6.08366,5.87828
flat200-5,1,3200,21.4626,21.2951
logistics.a,0,,,
logistics.b,0,,,
logistics.c,0,,,
logistics.d,0,,,
mc2024_track1_000,0,,,
mc2024_track1_001,0,,,
mc2024_track1_002,0,,,
mc2024_track1_003,0,,,
mc2024_track1_004,0,,,
mc2024_track1_005,0,,,
mc2024_track1_006,0,,,
mc2024_track1_007,0,,,
mc2024_track1_008,0,,,
mc2024_track1_009,0,,,
mc2024_track1_010,1,14576,0.766941,0.501782
mc2024_track1_011,1,4890,227.07,225.969
mc2024_track1_012,0,,,
mc2024_track1_013,1,13800,0.822166,0.558052
mc2024_track1_014,1,5484,175.94,174.722
mc2024_track1_015,1,6748,2.58938,1.91581
mc2024_track1_016,1,7726,216.853,213.367
