Benchmark,is_OPT,BEST,tot_time,solving_time
ais6,1,202,3349.28,3349.25
ais8,0,,,
ais10,0,,,
ais12,0,,,
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,0,,,
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,0,,,
cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,0,,,
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,0,,,
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,0,,,
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,0,,,
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,0,,,
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,0,,,
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,0,,,
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,0,,,
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,0,,,
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,0,,,
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,0,,,
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,0,,,
cnf_mo_prop_1_790_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,0,,,
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,0,,,
flat30-1,1,480,,
flat30-2,1,480,1.07805,1.05423
flat30-3,1,480,0.198406,0.177135
flat30-4,1,480,0.274482,0.251014
flat30-5,1,480,0.29405,0.27226
flat30-6,1,480,0.693922,0.672225
flat30-7,1,480,,
flat30-8,1,480,0.181932,0.163515
flat30-9,1,480,1.09486,1.07456
flat30-10,1,480,,
flat50-1,0,,1.35452,1.30954
flat50-2,1,800,1.03416,0.985334
flat50-3,0,,0.375264,0.328236
flat50-4,1,800,0.649087,0.603843
flat50-5,1,800,1.01902,0.968241
flat50-6,1,800,250.526,250.469
flat50-7,1,800,0.889124,0.843157
flat50-8,1,800,4.91074,4.8662
flat50-9,0,,1.28605,1.23648
flat50-10,1,800,1.22029,1.17988
flat75-1,1,1200,1.68958,1.59409
flat75-2,1,1200,6.0952,6.00808
flat75-3,1,1200,1.4861,1.39577
flat75-4,1,1200,1.5681,1.477
flat75-5,1,1200,0.697692,0.603758
flat75-6,1,1200,2.19936,2.10941
flat75-7,1,1200,1.01509,0.915456
flat75-8,1,1200,0.661483,0.565088
flat75-9,1,1200,2.31875,2.23096
flat75-10,1,1200,1.44525,1.35086
flat100-1,1,1600,1.8526,1.69464
flat100-2,1,1600,1.52307,1.36883
flat100-3,1,1600,1.10268,0.944499
flat100-4,1,1600,1.39771,1.24224
flat100-5,1,1600,1.55836,1.39682
flat100-6,1,1600,1.06045,0.9032
flat100-7,1,1600,1.55214,1.40558
flat100-8,1,1600,1.15727,1.00482
flat100-9,1,1600,1.73039,1.57428
flat100-10,1,1600,1.99968,1.84673
flat125-1,1,2000,2.33975,2.10461
flat125-2,1,2000,2.20771,1.98096
flat125-3,1,2000,1.7703,1.56744
flat125-4,1,2000,2.35959,2.12791
