Benchmark,is_OPT,BEST,tot_time,solving_time
mc2024_track1_065,1,456,1312.58,1312.45
mc2024_track1_067,0,,,
mc2024_track1_068,0,,,
mc2024_track1_069,0,,,
mc2024_track1_070,0,,,
mc2024_track1_072,0,,,
mc2024_track1_073,0,,,
mc2024_track1_074,0,,,
mc2024_track1_075,0,,,
mc2024_track1_076,0,,,
mc2024_track1_077,0,,,
mc2024_track1_078,0,,,
mc2024_track1_079,1,122,0.082559,0.06966
mc2024_track1_080,1,62,0.019456,0.01243
mc2024_track1_081,0,,0.019954,0.014119
mc2024_track1_082,0,,,
mc2024_track1_083,1,,0.063225,0.053448
mc2024_track1_084,0,,,
mc2024_track1_085,1,1304,4.16883,3.88798
mc2024_track1_086,1,1001,1.61729,1.48539
mc2024_track1_087,1,205,0.200021,0.181012
mc2024_track1_088,0,,,
mc2024_track1_089,1,444,0.18598,0.156579
mc2024_track1_090,1,950,0.946152,0.852782
mc2024_track1_091,1,949,1.84281,1.71794
mc2024_track1_092,1,3340,2316.56,2312.68
mc2024_track1_096,1,21744,1096.06,1035.99
mc2024_track1_097,0,,,
mc2024_track1_100,0,,,
mc2024_track1_101,1,778,9788.15,9787.83
mc2024_track1_102,0,,,
mc2024_track1_103,0,,,
mc2024_track1_104,0,,,
mc2024_track1_105,1,418,5.34421,5.10378
mc2024_track1_106,1,380,2.55204,2.4856
mc2024_track1_107,1,456,1269.63,1269.51
mc2024_track1_108,1,113,9592.41,9592.33
mc2024_track1_109,0,,,
mc2024_track1_110,0,,,
mc2024_track1_111,1,176,43.5011,43.4639
mc2024_track1_112,0,,,
mc2024_track1_113,0,,,
mc2024_track1_114,0,,,
mc2024_track1_115,0,,,
mc2024_track1_116,0,,,
mc2024_track1_117,1,90,0.038937,0.009256
mc2024_track1_118,1,39,0.004038,0.000573
mc2024_track1_119,1,320,1597.36,1597.33
mc2024_track1_120,1,320,4266.63,4266.59
mc2024_track1_121,1,176,0.07771,0.063805
mc2024_track1_122,0,,,
mc2024_track1_123,0,,,
mc2024_track1_124,0,,,
mc2024_track1_125,0,,,
mc2024_track1_126,0,,,
mc2024_track1_127,1,162,487.848,487.714
mc2024_track1_128,1,130,42.0976,41.992
mc2024_track1_129,0,,,
mc2024_track1_130,1,132,44.9864,44.8855
mc2024_track1_131,1,128,96.6075,96.5035
mc2024_track1_132,0,,,
mc2024_track1_134,0,,,
mc2024_track1_135,0,,,
mc2024_track1_136,0,,,
mc2024_track1_137,0,,,
mc2024_track1_138,0,,,
mc2024_track1_139,0,,,
mc2024_track1_140,0,,,
mc2024_track1_141,0,,,
mc2024_track1_142,0,,,
mc2024_track1_143,0,,,
