Instance,PeakMem(MB),Time(s)
mc2024_track1_109.pbo,4585.88,out_of_time
mc2024_track1_153.pbo,3916.25,out_of_time
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat.pbo,17473.20,out_of_time
mc2024_track1_016.pbo,10490.17,out_of_time
mc2024_track1_070.pbo,16966.16,378.35
sw100-14.pbo,4037.43,out_of_time
mc2024_track1_145.pbo,20304.12,5362.36
mc2024_track1_116.pbo,867.20,out_of_time
flat30-6.pbo,925.99,out_of_time
flat50-6.pbo,1546.16,out_of_time
flat175-4.pbo,2417.30,out_of_time
mc2024_track1_196.pbo,16871.83,365.82
mc2024_track1_126.pbo,6943.39,out_of_time
flat30-2.pbo,1333.29,out_of_time
mc2024_track1_132.pbo,3958.52,out_of_time
mc2024_track1_106.pbo,2289.02,out_of_time
flat200-5.pbo,2898.68,out_of_time
flat100-10.pbo,3739.73,out_of_time
ais12.pbo,1083.20,out_of_time
mc2024_track1_173.pbo,3840.42,out_of_time
mc2024_track1_199.pbo,16894.89,359.94
sw100-1.pbo,7368.48,out_of_time
logistics.c.pbo,3576.48,out_of_time
mc2024_track1_011.pbo,5469.30,out_of_time
mc2024_track1_183.pbo,1195.47,out_of_time
mc2024_track1_172.pbo,1587.11,out_of_time
flat100-7.pbo,3743.36,out_of_time
mc2024_track1_088.pbo,17231.59,1209.74
flat100-4.pbo,2189.40,out_of_time
mc2024_track1_118.pbo,954.98,out_of_time
mc2024_track1_092.pbo,17454.46,1253.68
mc2024_track1_083.pbo,1264.27,out_of_time
mc2024_track1_189.pbo,2851.93,out_of_time
mc2024_track1_166.pbo,16807.65,626.35
mc2024_track1_042.pbo,295.26,out_of_time
mc2024_track1_113.pbo,421.75,out_of_time
mc2024_track1_046.pbo,193.77,out_of_time
flat150-2.pbo,1766.36,out_of_time
mc2024_track1_026.pbo,17886.35,out_of_time
mc2024_track1_035.pbo,3301.67,out_of_time
mc2024_track1_053.pbo,9492.32,out_of_time
mc2024_track1_182.pbo,1805.86,out_of_time
mc2024_track1_040.pbo,491.67,out_of_time
flat200-1.pbo,3233.84,out_of_time
flat75-8.pbo,1663.33,out_of_time
mc2024_track1_143.pbo,8494.91,out_of_time
sw100-15.pbo,4209.05,out_of_time
mc2024_track1_144.pbo,16911.42,5565.00
mc2024_track1_158.pbo,18385.76,2885.15
mc2024_track1_107.pbo,2050.11,out_of_time
ais8.pbo,756.83,out_of_time
mc2024_track1_039.pbo,2561.39,out_of_time
flat175-2.pbo,2730.20,out_of_time
sw100-16.pbo,3319.41,out_of_time
mc2024_track1_119.pbo,194.53,out_of_time
mc2024_track1_176.pbo,2106.18,out_of_time
mc2024_track1_032.pbo,1436.82,out_of_time
mc2024_track1_017.pbo,6267.07,out_of_time
mc2024_track1_029.pbo,1257.71,out_of_time
ais10.pbo,813.40,out_of_time
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat.pbo,17460.15,420.50
flat100-8.pbo,2713.52,out_of_time
mc2024_track1_006.pbo,2016.95,out_of_time
flat125-2.pbo,1999.68,out_of_time
mc2024_track1_010.pbo,15858.26,out_of_time
logistics.a.pbo,4921.82,out_of_time
flat30-3.pbo,1147.75,out_of_time
mc2024_track1_043.pbo,231.59,out_of_time
mc2024_track1_082.pbo,1262.81,out_of_time
mc2024_track1_019.pbo,18735.79,out_of_time
mc2024_track1_117.pbo,1614.10,out_of_time
mc2024_track1_080.pbo,1283.57,out_of_time
mc2024_track1_097.pbo,18286.29,493.80
sw100-3.pbo,6668.94,out_of_time
mc2024_track1_058.pbo,1423.37,out_of_time
mc2024_track1_041.pbo,3205.36,out_of_time
mc2024_track1_105.pbo,2573.45,out_of_time
mc2024_track1_169.pbo,12207.20,out_of_time
ais6.pbo,386.27,out_of_time
mc2024_track1_003.pbo,1253.71,out_of_time
flat175-3.pbo,1625.82,out_of_time
logistics.b.pbo,2598.05,out_of_time
sw100-7.pbo,3501.16,out_of_time
flat175-5.pbo,3707.66,out_of_time
sw100-8.pbo,2164.24,out_of_time
mc2024_track1_024.pbo,17863.23,1289.57
mc2024_track1_163.pbo,4960.93,out_of_time
flat75-10.pbo,1780.24,out_of_time
mc2024_track1_004.pbo,6206.41,out_of_time
mc2024_track1_061.pbo,1609.43,out_of_time
flat125-4.pbo,2441.93,out_of_time
flat50-1.pbo,2634.99,out_of_time
mc2024_track1_075.pbo,18210.09,587.76
flat150-5.pbo,2205.65,out_of_time
mc2024_track1_079.pbo,1105.35,out_of_time
mc2024_track1_067.pbo,4640.50,out_of_time
mc2024_track1_140.pbo,13037.81,out_of_time
flat30-9.pbo,936.45,out_of_time
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,17598.77,out_of_time
