Instance,PeakMem(MB),Time(s)
mc2024_track1_021.pbo,6159.65,out_of_time
mc2024_track1_165.pbo,2305.81,out_of_time
flat200-3.pbo,26.74,8.82
flat125-3.pbo,10.97,2.88
mc2024_track1_083.pbo,5.12,0.58
flat100-4.pbo,8.04,2.19
mc2024_track1_092.pbo,1736.63,out_of_time
mc2024_track1_064.pbo,621.13,out_of_time
flat50-10.pbo,7.04,1.61
mc2024_track1_173.pbo,45.50,3.52
mc2024_track1_175.pbo,4.59,0.66
mc2024_track1_148.pbo,1544.62,out_of_time
mc2024_track1_002.pbo,1361.70,out_of_time
ais10.pbo,365.43,out_of_time
mc2024_track1_050.pbo,131.55,out_of_time
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,10340.56,out_of_time
flat100-8.pbo,9.83,1.97
mc2024_track1_048.pbo,169.74,out_of_time
mc2024_track1_167.pbo,3395.34,out_of_time
flat30-1.pbo,3.44,0.57
mc2024_track1_152.pbo,1555.59,out_of_time
mc2024_track1_070.pbo,2062.09,out_of_time
flat75-4.pbo,10.72,1.65
mc2024_track1_130.pbo,1014.53,out_of_time
mc2024_track1_190.pbo,373.45,out_of_time
flat100-6.pbo,9.05,1.75
mc2024_track1_180.pbo,5.25,0.53
flat30-9.pbo,5.48,0.74
mc2024_track1_176.pbo,155.42,10.57
mc2024_track1_157.pbo,1756.12,out_of_time
flat150-5.pbo,14.92,2.45
mc2024_track1_145.pbo,2997.88,out_of_time
sw100-12.pbo,1843.87,out_of_time
mc2024_track1_115.pbo,666.17,out_of_time
mc2024_track1_140.pbo,4027.74,out_of_time
mc2024_track1_097.pbo,1724.50,out_of_time
mc2024_track1_172.pbo,707.32,out_of_time
mc2024_track1_040.pbo,403.05,out_of_time
mc2024_track1_079.pbo,3.50,0.48
mc2024_track1_027.pbo,6.51,0.72
mc2024_track1_128.pbo,989.62,out_of_time
mc2024_track1_182.pbo,957.08,out_of_time
flat100-10.pbo,7.88,1.49
mc2024_track1_046.pbo,166.33,out_of_time
mc2024_track1_080.pbo,2.62,0.45
flat100-5.pbo,9.04,1.52
flat100-3.pbo,9.51,1.58
mc2024_track1_009.pbo,5724.74,out_of_time
flat200-5.pbo,28.16,23.83
mc2024_track1_159.pbo,981.00,246.96
mc2024_track1_034.pbo,6545.28,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,3734.98,out_of_time
mc2024_track1_127.pbo,890.66,out_of_time
mc2024_track1_188.pbo,820.58,out_of_time
flat30-7.pbo,8.08,1.09
mc2024_track1_037.pbo,1704.55,out_of_time
sw100-6.pbo,2297.66,out_of_time
flat200-4.pbo,16.79,7.75
mc2024_track1_057.pbo,22.96,1.38
mc2024_track1_170.pbo,1122.17,out_of_time
mc2024_track1_108.pbo,629.62,out_of_time
mc2024_track1_114.pbo,136.78,out_of_time
mc2024_track1_101.pbo,1515.42,out_of_time
mc2024_track1_123.pbo,3014.14,out_of_time
mc2024_track1_077.pbo,919.23,out_of_time
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,3726.03,out_of_time
mc2024_track1_035.pbo,1507.61,out_of_time
flat200-1.pbo,37.16,6.94
mc2024_track1_089.pbo,8.81,1.64
mc2024_track1_135.pbo,6672.74,out_of_time
mc2024_track1_122.pbo,13119.12,out_of_time
mc2024_track1_088.pbo,4868.61,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,16233.67,out_of_time
mc2024_track1_197.pbo,2152.03,out_of_time
flat75-7.pbo,8.59,1.21
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat.pbo,12063.34,out_of_time
mc2024_track1_139.pbo,14964.13,out_of_time
mc2024_track1_107.pbo,1149.23,out_of_time
flat100-9.pbo,9.90,1.76
sw100-8.pbo,1623.16,out_of_time
mc2024_track1_124.pbo,17614.48,5362.97
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,1706.22,out_of_time
mc2024_track1_164.pbo,30.61,10.35
mc2024_track1_109.pbo,1916.51,out_of_time
mc2024_track1_111.pbo,1102.52,out_of_time
flat30-4.pbo,4.16,0.61
logistics.d.pbo,3549.30,out_of_time
mc2024_track1_168.pbo,1632.80,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,3964.41,out_of_time
logistics.a.pbo,1058.71,out_of_time
mc2024_track1_137.pbo,4658.42,out_of_time
mc2024_track1_029.pbo,2.84,0.45
mc2024_track1_184.pbo,6.50,0.59
sw100-4.pbo,1744.20,out_of_time
mc2024_track1_147.pbo,4113.41,out_of_time
mc2024_track1_038.pbo,1620.28,out_of_time
logistics.b.pbo,1137.10,out_of_time
mc2024_track1_104.pbo,2070.36,out_of_time
flat175-3.pbo,12.94,4.49
mc2024_track1_174.pbo,7.18,0.73
mc2024_track1_163.pbo,51.86,9.79
mc2024_track1_132.pbo,652.77,out_of_time
mc2024_track1_121.pbo,8.43,6.36
mc2024_track1_087.pbo,5.47,1.12
mc2024_track1_155.pbo,1439.93,out_of_time
mc2024_track1_049.pbo,153.23,out_of_time
mc2024_track1_061.pbo,3.06,0.45
mc2024_track1_013.pbo,22.75,1.76
mc2024_track1_084.pbo,764.33,out_of_time
sw100-13.pbo,2227.27,out_of_time
mc2024_track1_118.pbo,2.62,0.46
mc2024_track1_189.pbo,1239.11,out_of_time
flat30-10.pbo,3.94,0.63
mc2024_track1_117.pbo,9.53,3.89
mc2024_track1_028.pbo,2.84,0.47
mc2024_track1_053.pbo,2226.39,out_of_time
mc2024_track1_045.pbo,193.90,out_of_time
sw100-7.pbo,1977.24,out_of_time
mc2024_track1_169.pbo,1588.21,out_of_time
flat100-1.pbo,9.86,1.97
mc2024_track1_076.pbo,784.74,out_of_time
flat75-1.pbo,8.49,1.59
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,4530.99,out_of_time
flat30-2.pbo,4.38,0.61
mc2024_track1_131.pbo,1254.62,out_of_time
mc2024_track1_015.pbo,43.37,4.10
ais8.pbo,330.64,out_of_time
mc2024_track1_078.pbo,8157.90,out_of_time
mc2024_track1_136.pbo,3478.98,out_of_time
flat30-8.pbo,7.70,1.56
flat125-5.pbo,9.28,2.20
flat150-4.pbo,12.80,3.24
flat175-2.pbo,10.10,6.57
mc2024_track1_012.pbo,1831.18,out_of_time
mc2024_track1_003.pbo,1066.84,out_of_time
mc2024_track1_059.pbo,7.70,1.45
mc2024_track1_120.pbo,181.16,out_of_time
sw100-15.pbo,1376.95,out_of_time
flat75-3.pbo,7.83,1.22
mc2024_track1_018.pbo,3008.21,out_of_time
sw100-14.pbo,2144.57,out_of_time
flat50-6.pbo,8.47,1.19
mc2024_track1_191.pbo,4096.02,out_of_time
mc2024_track1_153.pbo,1307.97,out_of_time
flat50-9.pbo,6.63,0.81
mc2024_track1_113.pbo,496.33,out_of_time
mc2024_track1_129.pbo,761.78,out_of_time
sw100-18.pbo,2397.90,out_of_time
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat.pbo,3767.75,out_of_time
mc2024_track1_074.pbo,3607.40,out_of_time
mc2024_track1_036.pbo,2933.08,out_of_time
mc2024_track1_185.pbo,14.34,2.65
mc2024_track1_158.pbo,6785.91,out_of_time
flat50-8.pbo,17.75,7.34
flat75-2.pbo,26.43,3.79
flat175-1.pbo,12.16,3.35
mc2024_track1_055.pbo,16.32,1.52
mc2024_track1_125.pbo,1416.09,out_of_time
mc2024_track1_178.pbo,1323.44,out_of_time
mc2024_track1_141.pbo,3834.26,out_of_time
mc2024_track1_142.pbo,2551.95,out_of_time
flat75-5.pbo,12.04,1.59
mc2024_track1_069.pbo,862.43,out_of_time
flat125-4.pbo,26.11,3.41
mc2024_track1_024.pbo,8150.64,out_of_time
flat100-2.pbo,7.66,1.64
mc2024_track1_039.pbo,2261.92,out_of_time
mc2024_track1_011.pbo,391.04,237.65
mc2024_track1_056.pbo,57.50,5.22
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat.pbo,12605.40,out_of_time
mc2024_track1_075.pbo,1323.15,out_of_time
mc2024_track1_000.pbo,13008.40,out_of_time
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,11852.36,out_of_time
flat75-9.pbo,69.62,33.86
flat50-3.pbo,5.91,0.99
sw100-2.pbo,1458.14,out_of_time
logistics.c.pbo,1894.81,out_of_time
mc2024_track1_177.pbo,2.41,0.49
mc2024_track1_044.pbo,626.26,out_of_time
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat.pbo,8559.57,out_of_time
mc2024_track1_192.pbo,5240.47,out_of_time
mc2024_track1_183.pbo,3.50,0.50
sw100-5.pbo,2172.32,out_of_time
sw100-19.pbo,1056.70,out_of_time
mc2024_track1_065.pbo,1191.70,out_of_time
mc2024_track1_047.pbo,707.14,out_of_time
flat50-7.pbo,5.25,0.79
mc2024_track1_103.pbo,2132.05,out_of_time
flat125-2.pbo,11.07,2.75
mc2024_track1_112.pbo,685.30,out_of_time
mc2024_track1_119.pbo,185.59,out_of_time
flat75-10.pbo,6.78,1.29
flat150-1.pbo,63.44,21.03
sw100-10.pbo,2021.49,out_of_time
mc2024_track1_149.pbo,1322.81,out_of_time
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat.pbo,4005.38,out_of_time
sw100-1.pbo,1787.79,out_of_time
mc2024_track1_144.pbo,3917.83,out_of_time
mc2024_track1_161.pbo,5361.58,out_of_time
mc2024_track1_166.pbo,6690.04,out_of_time
sw100-16.pbo,2020.44,out_of_time
mc2024_track1_058.pbo,3.28,0.51
mc2024_track1_023.pbo,1924.79,out_of_time
mc2024_track1_154.pbo,44.84,26.70
mc2024_track1_042.pbo,400.41,out_of_time
flat50-5.pbo,7.21,0.87
mc2024_track1_001.pbo,1429.23,out_of_time
flat175-5.pbo,15.31,4.47
mc2024_track1_051.pbo,3.28,0.62
flat100-7.pbo,9.48,1.57
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat.pbo,11856.10,out_of_time
mc2024_track1_043.pbo,183.60,out_of_time
mc2024_track1_116.pbo,1607.27,out_of_time
mc2024_track1_102.pbo,1682.18,out_of_time
flat30-6.pbo,5.88,0.73
mc2024_track1_085.pbo,5952.46,out_of_time
mc2024_track1_199.pbo,1743.17,out_of_time
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat.pbo,3758.57,out_of_time
