Instance,PeakMem(MB),Time(s)
mc2024_track1_021.pbo,7495.77,out_of_time
mc2024_track1_165.pbo,4748.54,out_of_time
flat200-3.pbo,100.05,6.80
flat125-3.pbo,207.81,55.68
mc2024_track1_083.pbo,713.79,out_of_time
flat100-4.pbo,36.86,3.11
mc2024_track1_092.pbo,10209.25,out_of_time
mc2024_track1_064.pbo,1083.05,out_of_time
flat50-10.pbo,86.61,76.41
mc2024_track1_173.pbo,223.59,15.00
mc2024_track1_175.pbo,15.42,1.03
mc2024_track1_148.pbo,3211.74,out_of_time
mc2024_track1_002.pbo,1757.12,out_of_time
ais10.pbo,251.63,out_of_time
mc2024_track1_050.pbo,676.78,out_of_time
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,16661.79,471.50
flat100-8.pbo,31.47,3.24
mc2024_track1_048.pbo,1168.77,out_of_time
mc2024_track1_167.pbo,3700.74,out_of_time
flat30-1.pbo,7.31,1.16
mc2024_track1_152.pbo,1302.97,out_of_time
mc2024_track1_070.pbo,16630.82,468.31
flat75-4.pbo,34.07,2.69
mc2024_track1_130.pbo,866.80,out_of_time
mc2024_track1_190.pbo,415.28,out_of_time
flat100-6.pbo,187.71,87.04
mc2024_track1_180.pbo,46.78,2.75
flat30-9.pbo,6.12,0.66
mc2024_track1_176.pbo,80.55,5.27
mc2024_track1_157.pbo,2266.14,out_of_time
flat150-5.pbo,70.40,14.65
mc2024_track1_145.pbo,6719.19,out_of_time
sw100-12.pbo,3171.26,out_of_time
mc2024_track1_115.pbo,818.84,out_of_time
mc2024_track1_140.pbo,3110.96,out_of_time
mc2024_track1_097.pbo,8843.65,out_of_time
mc2024_track1_172.pbo,384.58,out_of_time
mc2024_track1_040.pbo,405.27,out_of_time
mc2024_track1_079.pbo,18.07,1.31
mc2024_track1_027.pbo,134.63,8.34
mc2024_track1_128.pbo,848.88,out_of_time
mc2024_track1_182.pbo,396.34,out_of_time
flat100-10.pbo,35.50,2.89
mc2024_track1_046.pbo,673.02,out_of_time
mc2024_track1_080.pbo,13.61,1.93
flat100-5.pbo,42.67,3.74
flat100-3.pbo,27.28,2.80
mc2024_track1_009.pbo,5848.70,out_of_time
flat200-5.pbo,164.45,32.53
mc2024_track1_159.pbo,3607.56,out_of_time
mc2024_track1_034.pbo,6979.79,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,10044.11,out_of_time
mc2024_track1_127.pbo,99.92,147.36
mc2024_track1_188.pbo,970.87,out_of_time
flat30-7.pbo,12.33,1.32
mc2024_track1_037.pbo,1497.29,out_of_time
sw100-6.pbo,2559.34,out_of_time
flat200-4.pbo,77.26,11.85
mc2024_track1_057.pbo,10582.93,out_of_time
mc2024_track1_170.pbo,967.45,out_of_time
mc2024_track1_108.pbo,1025.95,out_of_time
mc2024_track1_114.pbo,740.51,3992.94
mc2024_track1_101.pbo,2875.12,out_of_time
mc2024_track1_123.pbo,4336.37,out_of_time
mc2024_track1_077.pbo,4245.34,out_of_time
