Instance,PeakMem(MB),Time(s)
mc2024_track1_021.pbo,14315.43,out_of_time
mc2024_track1_165.pbo,9978.25,out_of_time
flat200-3.pbo,2162.06,out_of_time
flat125-3.pbo,2260.21,out_of_time
mc2024_track1_083.pbo,479.88,out_of_time
flat100-4.pbo,1588.77,out_of_time
mc2024_track1_092.pbo,17485.91,out_of_time
mc2024_track1_064.pbo,1453.52,out_of_time
flat50-10.pbo,858.02,out_of_time
mc2024_track1_173.pbo,2664.13,out_of_time
mc2024_track1_175.pbo,712.67,out_of_time
mc2024_track1_148.pbo,7807.09,out_of_time
mc2024_track1_002.pbo,1848.50,out_of_time
ais10.pbo,449.22,out_of_time
mc2024_track1_050.pbo,134.46,out_of_time
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,16937.02,390.00
flat100-8.pbo,2524.74,out_of_time
mc2024_track1_048.pbo,199.37,out_of_time
mc2024_track1_167.pbo,8621.45,out_of_time
flat30-1.pbo,807.94,out_of_time
mc2024_track1_152.pbo,5410.71,out_of_time
mc2024_track1_070.pbo,16719.12,350.94
flat75-4.pbo,1126.27,out_of_time
mc2024_track1_130.pbo,2324.48,out_of_time
mc2024_track1_190.pbo,904.26,out_of_time
flat100-6.pbo,2044.67,out_of_time
mc2024_track1_180.pbo,2178.84,out_of_time
flat30-9.pbo,582.91,out_of_time
mc2024_track1_176.pbo,1556.04,out_of_time
mc2024_track1_157.pbo,2344.75,out_of_time
flat150-5.pbo,1796.21,out_of_time
mc2024_track1_145.pbo,14966.23,out_of_time
sw100-12.pbo,2458.55,out_of_time
mc2024_track1_115.pbo,1058.67,out_of_time
mc2024_track1_140.pbo,5531.29,out_of_time
mc2024_track1_097.pbo,17376.93,392.92
mc2024_track1_172.pbo,904.80,out_of_time
mc2024_track1_040.pbo,431.04,out_of_time
mc2024_track1_079.pbo,678.41,out_of_time
mc2024_track1_027.pbo,3165.74,out_of_time
mc2024_track1_128.pbo,2408.76,out_of_time
mc2024_track1_182.pbo,2995.36,out_of_time
flat100-10.pbo,1547.21,out_of_time
mc2024_track1_046.pbo,201.80,out_of_time
mc2024_track1_080.pbo,26.36,3.52
flat100-5.pbo,1663.52,out_of_time
flat100-3.pbo,1762.65,out_of_time
mc2024_track1_009.pbo,5358.93,out_of_time
flat200-5.pbo,2944.79,out_of_time
mc2024_track1_159.pbo,15856.18,out_of_time
mc2024_track1_034.pbo,4639.95,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,5465.54,out_of_time
