Instance,PeakMem(MB),Time(s)
mc2024_track1_021.pbo,7896.66,out_of_time
mc2024_track1_165.pbo,7316.72,out_of_time
flat200-3.pbo,103.40,6.80
flat125-3.pbo,83.93,4.33
mc2024_track1_083.pbo,915.93,out_of_time
flat100-4.pbo,40.18,3.04
mc2024_track1_092.pbo,10703.99,out_of_time
mc2024_track1_064.pbo,879.91,out_of_time
flat50-10.pbo,49.64,42.14
mc2024_track1_173.pbo,111.81,5.43
mc2024_track1_175.pbo,14.52,1.01
mc2024_track1_148.pbo,2483.62,out_of_time
mc2024_track1_002.pbo,1790.50,out_of_time
ais10.pbo,254.95,out_of_time
mc2024_track1_050.pbo,971.89,out_of_time
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,16633.43,469.38
flat100-8.pbo,131.70,37.27
mc2024_track1_048.pbo,1108.30,out_of_time
mc2024_track1_167.pbo,3207.86,out_of_time
flat30-1.pbo,11.74,2.67
mc2024_track1_152.pbo,2123.22,out_of_time
mc2024_track1_070.pbo,16632.29,494.41
flat75-4.pbo,37.30,2.44
mc2024_track1_130.pbo,879.14,out_of_time
mc2024_track1_190.pbo,551.74,out_of_time
flat100-6.pbo,33.38,2.80
mc2024_track1_180.pbo,46.61,1.98
flat30-9.pbo,7.38,0.70
mc2024_track1_176.pbo,131.70,6.06
mc2024_track1_157.pbo,1461.14,out_of_time
flat150-5.pbo,70.70,5.54
mc2024_track1_145.pbo,9246.74,out_of_time
sw100-12.pbo,2874.98,out_of_time
mc2024_track1_115.pbo,399.27,out_of_time
mc2024_track1_140.pbo,3470.82,out_of_time
mc2024_track1_097.pbo,11767.37,out_of_time
mc2024_track1_172.pbo,501.79,out_of_time
mc2024_track1_040.pbo,367.00,out_of_time
mc2024_track1_079.pbo,58.22,15.31
mc2024_track1_027.pbo,126.84,8.20
mc2024_track1_128.pbo,828.25,out_of_time
mc2024_track1_182.pbo,461.41,out_of_time
flat100-10.pbo,34.07,2.90
mc2024_track1_046.pbo,549.04,out_of_time
mc2024_track1_080.pbo,9.18,0.81
flat100-5.pbo,35.18,2.67
flat100-3.pbo,27.79,3.55
mc2024_track1_009.pbo,1723.77,316.19
flat200-5.pbo,282.89,53.79
mc2024_track1_159.pbo,3195.13,out_of_time
mc2024_track1_034.pbo,5040.06,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,8938.02,out_of_time
mc2024_track1_127.pbo,86.61,65.94
mc2024_track1_188.pbo,994.93,out_of_time
flat30-7.pbo,16.41,1.78
mc2024_track1_037.pbo,1133.80,out_of_time
sw100-6.pbo,1513.08,out_of_time
flat200-4.pbo,186.23,26.94
mc2024_track1_057.pbo,10798.11,out_of_time
mc2024_track1_170.pbo,1046.14,out_of_time
mc2024_track1_108.pbo,925.57,out_of_time
mc2024_track1_114.pbo,159.27,out_of_time
mc2024_track1_101.pbo,2549.60,out_of_time
mc2024_track1_123.pbo,5386.38,out_of_time
mc2024_track1_077.pbo,3647.42,out_of_time
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,8710.61,out_of_time
mc2024_track1_035.pbo,1783.38,out_of_time
flat200-1.pbo,137.27,10.89
