Instance,PeakMem(MB),Time(s)
mc2024_track1_109.pbo,4110.69,out_of_time
mc2024_track1_153.pbo,6512.58,out_of_time
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat.pbo,19093.46,out_of_time
mc2024_track1_016.pbo,14903.79,out_of_time
mc2024_track1_070.pbo,16867.55,369.62
sw100-14.pbo,2340.20,out_of_time
mc2024_track1_145.pbo,21335.13,out_of_time
mc2024_track1_116.pbo,3096.55,out_of_time
flat30-6.pbo,1329.84,out_of_time
flat50-6.pbo,1562.36,out_of_time
flat175-4.pbo,2196.39,out_of_time
mc2024_track1_196.pbo,16804.55,368.25
mc2024_track1_126.pbo,7757.32,out_of_time
flat30-2.pbo,1101.10,out_of_time
mc2024_track1_132.pbo,4123.43,out_of_time
mc2024_track1_106.pbo,2463.96,out_of_time
flat200-5.pbo,3285.32,out_of_time
flat100-10.pbo,3624.77,out_of_time
ais12.pbo,696.23,out_of_time
mc2024_track1_173.pbo,4868.32,out_of_time
mc2024_track1_199.pbo,16833.37,373.63
sw100-1.pbo,3038.62,out_of_time
logistics.c.pbo,2486.22,out_of_time
mc2024_track1_011.pbo,5630.59,out_of_time
mc2024_track1_183.pbo,2247.50,out_of_time
mc2024_track1_172.pbo,1715.47,out_of_time
flat100-7.pbo,3926.79,out_of_time
mc2024_track1_088.pbo,18634.68,1227.03
flat100-4.pbo,1803.54,out_of_time
mc2024_track1_118.pbo,325.95,out_of_time
mc2024_track1_092.pbo,19494.01,2388.92
mc2024_track1_083.pbo,1304.29,out_of_time
mc2024_track1_189.pbo,2475.57,out_of_time
mc2024_track1_166.pbo,17601.50,1356.67
mc2024_track1_042.pbo,2049.93,out_of_time
mc2024_track1_113.pbo,1471.61,out_of_time
mc2024_track1_046.pbo,704.32,out_of_time
flat150-2.pbo,2898.31,out_of_time
mc2024_track1_026.pbo,15135.39,out_of_time
mc2024_track1_035.pbo,3162.58,out_of_time
mc2024_track1_053.pbo,6915.95,out_of_time
mc2024_track1_182.pbo,2340.34,out_of_time
mc2024_track1_040.pbo,508.91,out_of_time
flat200-1.pbo,2196.46,out_of_time
flat75-8.pbo,1631.75,out_of_time
mc2024_track1_143.pbo,8101.48,out_of_time
sw100-15.pbo,2895.87,out_of_time
mc2024_track1_144.pbo,16667.12,356.18
mc2024_track1_158.pbo,18313.30,1199.74
mc2024_track1_107.pbo,2670.57,out_of_time
ais8.pbo,568.61,out_of_time
mc2024_track1_039.pbo,2178.27,out_of_time
flat175-2.pbo,2529.14,out_of_time
sw100-16.pbo,2831.44,out_of_time
mc2024_track1_119.pbo,273.18,out_of_time
mc2024_track1_176.pbo,2314.30,out_of_time
