Instance,PeakMem(MB),Time(s)
mc2024_track1_049.pbo,226.03,out_of_time
sw100-10.pbo,2006.14,out_of_time
flat100-6.pbo,2042.87,out_of_time
mc2024_track1_078.pbo,11582.81,out_of_time
sw100-18.pbo,1772.95,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,3664.12,out_of_time
mc2024_track1_186.pbo,710.94,out_of_time
mc2024_track1_120.pbo,179.59,out_of_time
mc2024_track1_101.pbo,2914.34,out_of_time
mc2024_track1_050.pbo,169.55,out_of_time
mc2024_track1_149.pbo,3372.02,out_of_time
mc2024_track1_084.pbo,762.12,out_of_time
mc2024_track1_022.pbo,2051.38,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,17771.50,4961.71
mc2024_track1_121.pbo,1625.51,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,2931.44,out_of_time
flat75-2.pbo,2589.51,out_of_time
mc2024_track1_000.pbo,10460.68,out_of_time
mc2024_track1_073.pbo,1587.87,out_of_time
mc2024_track1_007.pbo,12573.59,out_of_time
mc2024_track1_036.pbo,5909.39,out_of_time
mc2024_track1_184.pbo,11.54,0.98
mc2024_track1_104.pbo,2290.81,out_of_time
sw100-17.pbo,2553.71,out_of_time
flat50-8.pbo,1420.26,out_of_time
mc2024_track1_137.pbo,4962.34,out_of_time
sw100-13.pbo,2702.84,out_of_time
mc2024_track1_085.pbo,2395.35,out_of_time
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,3710.41,out_of_time
cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat.pbo,12429.36,out_of_time
flat200-2.pbo,2757.46,out_of_time
mc2024_track1_009.pbo,6577.34,out_of_time
mc2024_track1_148.pbo,3728.51,out_of_time
mc2024_track1_018.pbo,3799.94,out_of_time
mc2024_track1_167.pbo,2261.72,out_of_time
mc2024_track1_136.pbo,2323.05,out_of_time
mc2024_track1_114.pbo,141.07,out_of_time
mc2024_track1_103.pbo,1836.45,out_of_time
mc2024_track1_161.pbo,4972.69,out_of_time
flat200-4.pbo,3129.37,out_of_time
flat125-3.pbo,3068.65,out_of_time
mc2024_track1_142.pbo,5572.35,out_of_time
mc2024_track1_181.pbo,11.26,0.85
sw100-2.pbo,2486.76,out_of_time
mc2024_track1_146.pbo,3092.79,out_of_time
mc2024_track1_127.pbo,429.61,out_of_time
mc2024_track1_015.pbo,1731.82,out_of_time
