Instance,PeakMem(MB),Time(s)
mc2024_track1_021.pbo,14365.43,out_of_time
mc2024_track1_165.pbo,16831.32,out_of_time
flat200-3.pbo,3018.15,out_of_time
flat125-3.pbo,2602.82,out_of_time
mc2024_track1_083.pbo,621.36,out_of_time
flat100-4.pbo,2318.71,out_of_time
mc2024_track1_092.pbo,11249.99,out_of_time
mc2024_track1_064.pbo,1998.42,out_of_time
flat50-10.pbo,1145.27,out_of_time
mc2024_track1_173.pbo,3284.06,out_of_time
mc2024_track1_175.pbo,712.92,out_of_time
mc2024_track1_148.pbo,10170.92,out_of_time
mc2024_track1_002.pbo,2154.79,out_of_time
ais10.pbo,491.68,out_of_time
mc2024_track1_050.pbo,234.14,out_of_time
cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat.pbo,16863.04,369.07
flat100-8.pbo,2604.47,out_of_time
mc2024_track1_048.pbo,253.07,out_of_time
mc2024_track1_167.pbo,20154.53,out_of_time
flat30-1.pbo,891.34,out_of_time
mc2024_track1_152.pbo,3051.59,out_of_time
mc2024_track1_070.pbo,16665.44,370.96
flat75-4.pbo,1490.38,out_of_time
mc2024_track1_130.pbo,1798.70,out_of_time
mc2024_track1_190.pbo,777.98,out_of_time
flat100-6.pbo,2520.79,out_of_time
mc2024_track1_180.pbo,2188.46,out_of_time
flat30-9.pbo,108.03,115.29
mc2024_track1_176.pbo,1575.48,out_of_time
mc2024_track1_157.pbo,5540.75,out_of_time
flat150-5.pbo,2110.23,out_of_time
mc2024_track1_145.pbo,16203.72,out_of_time
sw100-12.pbo,2766.68,out_of_time
mc2024_track1_115.pbo,1393.46,out_of_time
mc2024_track1_140.pbo,7069.81,out_of_time
mc2024_track1_097.pbo,17246.12,394.26
mc2024_track1_172.pbo,1420.11,out_of_time
mc2024_track1_040.pbo,456.59,out_of_time
mc2024_track1_079.pbo,130.91,23.16
mc2024_track1_027.pbo,4841.47,out_of_time
mc2024_track1_128.pbo,1422.24,out_of_time
mc2024_track1_182.pbo,2144.19,out_of_time
flat100-10.pbo,3039.27,out_of_time
mc2024_track1_046.pbo,2637.93,out_of_time
mc2024_track1_080.pbo,676.94,out_of_time
flat100-5.pbo,1996.46,out_of_time
flat100-3.pbo,2212.75,out_of_time
mc2024_track1_009.pbo,2808.32,out_of_time
flat200-5.pbo,2728.55,out_of_time
mc2024_track1_159.pbo,8847.57,out_of_time
mc2024_track1_034.pbo,6335.66,out_of_time
cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat.pbo,11386.14,out_of_time
mc2024_track1_127.pbo,2068.08,out_of_time
mc2024_track1_188.pbo,1633.18,out_of_time
flat30-7.pbo,788.58,out_of_time
mc2024_track1_037.pbo,4813.03,out_of_time
sw100-6.pbo,1438.36,out_of_time
flat200-4.pbo,2795.21,out_of_time
mc2024_track1_057.pbo,22775.03,out_of_time
mc2024_track1_170.pbo,1547.29,out_of_time
mc2024_track1_108.pbo,1928.16,out_of_time
mc2024_track1_114.pbo,129.71,out_of_time
mc2024_track1_101.pbo,4626.90,out_of_time
mc2024_track1_123.pbo,12862.22,out_of_time
mc2024_track1_077.pbo,17090.59,out_of_time
cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat.pbo,11407.65,out_of_time
mc2024_track1_035.pbo,5106.32,out_of_time
flat200-1.pbo,4051.98,out_of_time
mc2024_track1_089.pbo,3049.63,out_of_time
mc2024_track1_135.pbo,17483.80,453.69
mc2024_track1_122.pbo,16681.45,348.90
mc2024_track1_088.pbo,14347.50,out_of_time
cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat.pbo,16864.15,364.52
mc2024_track1_197.pbo,17645.70,out_of_time
flat75-7.pbo,1766.45,out_of_time
cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat.pbo,16864.56,367.14
mc2024_track1_139.pbo,16793.52,609.19
mc2024_track1_107.pbo,2094.02,out_of_time
flat100-9.pbo,1502.21,out_of_time
sw100-8.pbo,1631.35,out_of_time
mc2024_track1_124.pbo,17379.02,489.66
cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat.pbo,16674.30,341.71
mc2024_track1_164.pbo,3313.91,4884.39
mc2024_track1_109.pbo,6697.50,out_of_time
mc2024_track1_111.pbo,1669.36,out_of_time
flat30-4.pbo,767.42,out_of_time
logistics.d.pbo,7918.04,out_of_time
mc2024_track1_168.pbo,3645.72,out_of_time
cnf_mo_prop_9_12912_2.cnf_0.00000000.sat.pbo,9188.59,out_of_time
logistics.a.pbo,3513.30,out_of_time
mc2024_track1_137.pbo,17008.67,444.36
mc2024_track1_029.pbo,375.30,out_of_time
mc2024_track1_184.pbo,2136.64,out_of_time
sw100-4.pbo,1861.04,out_of_time
mc2024_track1_147.pbo,10329.05,out_of_time
mc2024_track1_038.pbo,9073.24,out_of_time
logistics.b.pbo,3570.74,out_of_time
mc2024_track1_104.pbo,4713.47,out_of_time
flat175-3.pbo,2582.26,out_of_time
mc2024_track1_174.pbo,329.23,out_of_time
mc2024_track1_163.pbo,5559.82,out_of_time
mc2024_track1_132.pbo,2102.09,out_of_time
mc2024_track1_121.pbo,673.11,out_of_time
mc2024_track1_087.pbo,2795.49,out_of_time
mc2024_track1_155.pbo,5443.38,out_of_time
mc2024_track1_049.pbo,505.25,out_of_time
mc2024_track1_061.pbo,917.18,out_of_time
mc2024_track1_013.pbo,5782.06,out_of_time
mc2024_track1_084.pbo,16726.20,330.69
sw100-13.pbo,3006.67,out_of_time
mc2024_track1_118.pbo,264.13,out_of_time
mc2024_track1_189.pbo,1772.22,out_of_time
flat30-10.pbo,727.93,out_of_time
mc2024_track1_117.pbo,30.07,29.96
mc2024_track1_028.pbo,539.45,out_of_time
mc2024_track1_053.pbo,10104.64,out_of_time
mc2024_track1_045.pbo,234.50,out_of_time
sw100-7.pbo,2629.52,out_of_time
mc2024_track1_169.pbo,8211.70,out_of_time
flat100-1.pbo,1978.10,out_of_time
mc2024_track1_076.pbo,16791.07,368.89
flat75-1.pbo,1065.20,4191.68
cnf_mo_prop_1_790_2.cnf_0.00000000.sat.pbo,7784.00,out_of_time
flat30-2.pbo,384.13,out_of_time
mc2024_track1_131.pbo,2080.18,out_of_time
mc2024_track1_015.pbo,8189.18,out_of_time
ais8.pbo,345.60,out_of_time
mc2024_track1_078.pbo,17330.96,428.93
mc2024_track1_136.pbo,16683.46,356.61
flat30-8.pbo,598.39,3993.03
flat125-5.pbo,2183.89,out_of_time
flat150-4.pbo,1700.23,out_of_time
flat175-2.pbo,2215.65,out_of_time
mc2024_track1_012.pbo,4777.11,out_of_time
mc2024_track1_003.pbo,1388.45,out_of_time
mc2024_track1_059.pbo,439.07,out_of_time
mc2024_track1_120.pbo,191.06,out_of_time
sw100-15.pbo,2154.88,out_of_time
flat75-3.pbo,1131.84,out_of_time
mc2024_track1_018.pbo,14346.66,out_of_time
sw100-14.pbo,1819.58,out_of_time
flat50-6.pbo,1517.48,out_of_time
mc2024_track1_191.pbo,17274.62,430.99
mc2024_track1_153.pbo,4786.36,out_of_time
flat50-9.pbo,1197.96,out_of_time
mc2024_track1_113.pbo,1976.72,out_of_time
mc2024_track1_129.pbo,2684.91,out_of_time
sw100-18.pbo,2922.75,out_of_time
cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat.pbo,11342.57,out_of_time
mc2024_track1_074.pbo,17205.44,405.77
mc2024_track1_036.pbo,3000.09,out_of_time
mc2024_track1_185.pbo,1990.62,out_of_time
mc2024_track1_158.pbo,10946.21,out_of_time
flat50-8.pbo,990.38,out_of_time
flat75-2.pbo,1193.72,out_of_time
flat175-1.pbo,2234.14,out_of_time
mc2024_track1_055.pbo,4364.60,out_of_time
mc2024_track1_125.pbo,6603.25,out_of_time
mc2024_track1_178.pbo,2447.43,out_of_time
mc2024_track1_141.pbo,9088.16,out_of_time
mc2024_track1_142.pbo,5893.98,out_of_time
flat75-5.pbo,1568.22,out_of_time
mc2024_track1_069.pbo,1912.23,out_of_time
flat125-4.pbo,2051.25,out_of_time
mc2024_track1_024.pbo,26164.38,out_of_time
flat100-2.pbo,1726.76,out_of_time
mc2024_track1_039.pbo,2705.87,out_of_time
mc2024_track1_011.pbo,13351.20,out_of_time
mc2024_track1_056.pbo,22986.98,out_of_time
cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat.pbo,16864.23,359.41
mc2024_track1_075.pbo,16961.45,381.17
mc2024_track1_000.pbo,18312.03,448.98
cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat.pbo,16862.71,384.71
flat75-9.pbo,2090.61,out_of_time
flat50-3.pbo,1141.69,out_of_time
sw100-2.pbo,2319.84,out_of_time
logistics.c.pbo,3639.79,out_of_time
mc2024_track1_177.pbo,342.69,out_of_time
mc2024_track1_044.pbo,1408.96,out_of_time
cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat.pbo,16869.37,392.08
mc2024_track1_192.pbo,17409.81,451.55
mc2024_track1_183.pbo,1089.72,out_of_time
sw100-5.pbo,4486.80,out_of_time
sw100-19.pbo,2377.42,out_of_time
mc2024_track1_065.pbo,2050.34,out_of_time
mc2024_track1_047.pbo,234.07,out_of_time
flat50-7.pbo,1248.48,out_of_time
mc2024_track1_103.pbo,9050.56,out_of_time
flat125-2.pbo,2770.88,out_of_time
mc2024_track1_112.pbo,1346.33,out_of_time
mc2024_track1_119.pbo,271.01,out_of_time
flat75-10.pbo,192.66,210.72
flat150-1.pbo,3269.29,out_of_time
sw100-10.pbo,1985.40,out_of_time
mc2024_track1_149.pbo,3188.21,out_of_time
cnf_mo_prop_8_12004_2.cnf_0.00000000.sat.pbo,9193.64,out_of_time
sw100-1.pbo,4171.56,out_of_time
mc2024_track1_144.pbo,16705.52,348.55
mc2024_track1_161.pbo,17985.56,out_of_time
mc2024_track1_166.pbo,18022.68,1627.18
sw100-16.pbo,3884.43,out_of_time
mc2024_track1_058.pbo,548.12,out_of_time
mc2024_track1_023.pbo,6848.08,out_of_time
mc2024_track1_154.pbo,3978.11,out_of_time
mc2024_track1_042.pbo,2501.91,out_of_time
flat50-5.pbo,1132.87,out_of_time
mc2024_track1_001.pbo,3702.47,out_of_time
flat175-5.pbo,2113.75,out_of_time
mc2024_track1_051.pbo,821.04,out_of_time
flat100-7.pbo,1531.68,out_of_time
cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat.pbo,16864.45,371.87
mc2024_track1_043.pbo,1815.14,out_of_time
mc2024_track1_116.pbo,2235.38,out_of_time
mc2024_track1_102.pbo,1907.80,out_of_time
flat30-6.pbo,975.78,out_of_time
mc2024_track1_085.pbo,6511.23,out_of_time
mc2024_track1_199.pbo,16677.27,347.30
cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat.pbo,11370.53,out_of_time
flat175-4.pbo,2822.97,out_of_time
mc2024_track1_017.pbo,7047.59,out_of_time
mc2024_track1_016.pbo,30247.19,out_of_time
mc2024_track1_179.pbo,2134.73,out_of_time
mc2024_track1_126.pbo,1586.06,out_of_time
mc2024_track1_186.pbo,767.04,out_of_time
flat50-4.pbo,1209.50,out_of_time
mc2024_track1_062.pbo,1607.96,out_of_time
mc2024_track1_106.pbo,1920.87,out_of_time
mc2024_track1_067.pbo,5016.15,out_of_time
mc2024_track1_134.pbo,21940.94,2176.81
mc2024_track1_150.pbo,1944.43,out_of_time
mc2024_track1_171.pbo,5090.82,out_of_time
mc2024_track1_007.pbo,17686.18,562.17
cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat.pbo,16866.50,379.23
flat75-6.pbo,1145.16,out_of_time
mc2024_track1_151.pbo,1775.59,out_of_time
mc2024_track1_031.pbo,807.06,out_of_time
mc2024_track1_198.pbo,16684.63,371.00
mc2024_track1_073.pbo,16674.07,375.62
sw100-9.pbo,2216.16,out_of_time
mc2024_track1_193.pbo,16956.92,396.86
mc2024_track1_026.pbo,5236.37,out_of_time
cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat.pbo,16864.23,377.55
